" ""Colorado Public Library Statistics""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lrs.org/public/data/csv/id/43830/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Library,City,County,Visits,ILLs Loaned,ILLs Borrowed,Total Number of Challenges,Total Collection Use,Total Circulation,Annual Operating Hours,Automatic Renewals,Overdue Fines for Children's Books,Overdue Fines for YA Books,Overdue Fines for Adult Books,"Average hours open per week, per outlet",Website Visits,Public Access Internet Computers,Total Print Expenditures,Total Collection Expenditures,Miscellaneous Operating Expenditures,Total Operating Expenditures,Capital Expenditures,Staff Salaries,Number of Bookmobiles,Staff Expenditures per Capita,Materials Expenditures per Capita,Other Expenditures per Capita,Total Expenditures per Capita,Local Revenue per Capita,Staff Expenditures as Percent of Total Operating Expenditures,Materials Expenditures as Percent of Total Operating Expenditures,LSA Population,Legal Basis,LSA Registered Borrowers,Number of Non-Resident Registered Borrowers,Total Registered Borrowers,"Staff per 1,000 Served",Print Volumes per Capita,Registration as Percent of Population,Library Visits per Capita,Circulation per Capita,Number of individuals directly engaged,Number of individuals exposed to the library,Circulation per Capita,"Program Attendance per 1,000 Served",Total Programs,Total Program Attendance,Local Capital Revenue,State Capital Revenue,Federal Capital Revenue,Other Capital Revenue,Total Capital Revenue,City General Fund,County General Fund,City Sales Tax,County Sales Tax,City Mill Levy,County Mill Levy,District Mill Levy,Total Local Operating Revenue,Total State Operating Revenue,Total Federal Operating Revenue,Other Operating Revenue,Total Operating Revenue,Non-Supervising Librarian Salary (high),Non-Supervising Librarian Salary (low),MLS Required - Librarian,Library Assistant (high),Library Assistant (low),Library Clerk Hourly (high),Library Clerk Hourly (low),ALA-MLS Librarians (FTE),Total Librarians (FTE),Other Paid Staff (FTE),Total Staff (FTE)
Moffat County Libraries,CRAIG,MOFFAT,"29,701",0,104,0,"55,221","53,949","3,068",No,Yes,Yes,Yes,19.7,No Data,15,"$24,368 ","$28,983 ","$43,992 ","$309,691 ","$42,386 ","$178,820 ",0,$17.99 ,$2.20 ,$3.34 ,$23.53 ,$29.32 ,76%,9%,"13,160",CO,"8,913",34,"8,947",0.61,7.9,68%,2.26,4.1,Not Collected,Not Collected,4.1,959.04,487,"12,621","$38,000 ",$0 ,$0 ,$0 ,"$38,000 ",$0 ,"$385,871 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$385,871 ","$6,314 ",$0 ,$0 ,"$392,185 ","$36,915 ","$20,000 ",No,$14.00 ,$12.70 ,No Data,No Data,0,2,6,8
Montrose Regional Library District,MONTROSE,MONTROSE,"129,778","20,077","22,714",1,"244,123","236,482","3,968",No,No,No,No,19.1,No Data,28,"$129,923 ","$208,941 ","$730,105 ","$2,500,986 ","$251,362 ","$1,211,678 ",1,$36.67 ,$4.91 ,$17.14 ,$58.72 ,$61.67 ,62%,8%,"42,594",LD,"20,119","1,107","21,226",0.74,2.4,50%,3.05,5.55,Not Collected,Not Collected,5.55,79.64,263,"3,392",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,626,595 ","$2,626,595 ","$16,020 ","$13,421 ","$156,711 ","$2,812,747 ","$51,138 ","$38,272 ",Yes,$17.50 ,$13.52 ,No Data,No Data,7.6,14.6,16.76,31.36
Nederland Community Library District,NEDERLAND,BOULDER,"14,555","2,120","3,020",0,"33,260","33,260","19,170",No,No,No,No,368.7,"19,235",8,"$19,142 ","$46,039 ","$231,070 ","$514,473 ",$0 ,"$209,137 ",0,$67.74 ,$13.14 ,$65.94 ,$146.82 ,$139.82 ,46%,9%,"3,504",LD,"4,881",309,"5,190",4,4.06,148%,4.15,9.49,Not Collected,Not Collected,9.49,345.03,179,"1,209","$131,073 ",$0 ,$0 ,"$6,370 ","$137,443 ",$0 ,$0 ,$0 ,"$18,387 ",$0 ,$0 ,"$471,545 ","$489,932 ","$5,000 ",$0 ,"$33,198 ","$528,130 ",No Data,"$32,000 ",No,$19.00 ,$16.50 ,$16.00 ,$14.00 ,0,2,12,14
Northern Chaffee County Library District (Buena Vista),BUENA VISTA,CHAFFEE,"51,753","9,855","10,811",0,"87,666","86,968","2,632",No,No,No,No,50.6,"50,000",10,"$33,655 ","$71,878 ","$225,669 ","$671,498 ",$0 ,"$292,975 ",0,$38.86 ,$7.47 ,$23.45 ,$69.77 ,$66.53 ,56%,11%,"9,624",LD,"4,965",30,"4,995",0.67,2.11,52%,5.38,9.04,Not Collected,Not Collected,9.04,275.77,113,"2,654",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$640,314 ","$640,314 ","$44,154 ",$0 ,"$35,995 ","$720,463 ",No Data,No Data,No,$23.26 ,$22.21 ,$21.36 ,$16.50 ,2,3,3.43,6.43
Northern Saguache County Library District,SAGUACHE,SAGUACHE,"9,683","1,575","1,003",0,"6,466","6,466","3,328",No,No,No,No,21.3,"4,397",6,"$14,687 ","$20,210 ","$101,450 ","$248,728 ",$0 ,"$116,794 ",0,$39.90 ,$6.35 ,$31.85 ,$78.09 ,$74.62 ,51%,8%,"3,185",LD,"2,453",100,"2,553",1.23,2.69,80%,3.04,2.03,Not Collected,Not Collected,2.03,47.1,62,150,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$237,661 ","$237,661 ","$5,000 ",$0 ,"$43,406 ","$286,067 ","$19,744 ","$2,648 ",No,$17.50 ,$17.00 ,$15.00 ,$15.00 ,0,0.53,3.38,3.91
Nucla Public Library,NUCLA,MONTROSE,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,585,CI,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,Not Collected,Not Collected,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Ouray Library District,OURAY,OURAY,"5,467","1,337","1,129",0,"19,625","19,625","1,868",Yes,No,No,No,35.9,"4,191",8,"$9,049 ","$17,928 ","$42,120 ","$132,479 ","$14,302 ","$67,019 ",0,$45.93 ,$11.37 ,$26.71 ,$84.01 ,$60.02 ,55%,14%,"1,577",LD,"1,915",738,"2,653",0.95,8.9,168%,3.47,12.44,Not Collected,Not Collected,12.44,"2,450.86",220,"3,865",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$94,651 ","$94,651 ","$14,000 ",$0 ,"$44,027 ","$152,678 ","$2,471 ","$1,401 ",No,$0.00 ,$0.00 ,$13.50 ,$13.50 ,0,1.5,0,1.5
Park County Public Library,FAIRPLAY,PARK,"38,456",0,"1,113",0,"46,448","44,882","6,532",No,No,No,No,31.4,"12,514",59,"$20,324 ","$32,797 ","$39,935 ","$279,556 ",$0 ,"$191,561 ",0,$11.67 ,$1.85 ,$2.25 ,$15.78 ,$13.76 ,74%,12%,"17,718",CO,"16,391","1,498","17,889",0.32,2.98,101%,2.17,2.53,Not Collected,Not Collected,2.53,113.56,284,"2,012",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$243,831 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$243,831 ","$6,323 ",$0 ,"$2,975 ","$253,129 ","$13,344 ","$4,484 ",No,$13.36 ,$13.16 ,$12.32 ,$12.32 ,0,5.64,0,5.64
Penrose Community Library District,PENROSE,FREMONT,"6,100","1,710","1,250",0,"21,600","21,600","1,976",No,No,No,No,38,"4,105",5,"$13,454 ","$15,454 ","$82,271 ","$237,098 ",$0 ,"$119,154 ",0,$34.73 ,$3.85 ,$20.50 ,$59.08 ,$56.67 ,59%,7%,"4,013",LD,"2,034",482,"2,516",0.87,2.36,63%,1.52,5.38,Not Collected,Not Collected,5.38,235.48,70,945,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$227,407 ","$227,407 ","$4,000 ",$0 ,"$5,691 ","$237,098 ",$13 ,$13 ,No,$12.56 ,$12.56 ,$12.56 ,$12.56 ,0,2,1.5,3.5
Pikes Peak Library District,COLORADO SPRINGS,EL PASO,"1,201,076","7,438","19,610",1,"7,423,396","6,367,524","36,479",Yes,No,No,No,41.3,"4,142,733",627,"$1,077,560 ","$4,930,481 ","$8,862,375 ","$34,118,114 ","$1,188,096 ","$15,807,023 ",2,$29.98 ,$7.27 ,$13.07 ,$50.32 ,$46.04 ,60%,14%,"677,964",LD,"290,737","7,494","298,231",0.59,0.88,44%,1.77,9.39,Not Collected,Not Collected,9.39,52.05,"3,678","35,289",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$31,212,341 ","$31,212,341 ","$143,445 ","$636,014 ","$4,326,400 ","$36,318,200 ","$75,088 ","$27,529 ",Yes,$25.68 ,$16.83 ,$18.55 ,$15.00 ,63.67,63.67,336.33,400
Pine River Public Library District/Bayfield,BAYFIELD,LA PLATA,"52,854","10,330","9,919",0,"65,908","55,611","3,100",No,No,No,No,59.6,"43,832",86,"$26,854 ","$60,588 ","$231,656 ","$805,803 ",$0 ,"$437,562 ",0,$58.19 ,$6.87 ,$26.25 ,$91.31 ,$94.40 ,64%,8%,"8,825",LD,"7,949","2,649","10,598",1.04,2.27,120%,5.99,6.3,Not Collected,Not Collected,6.3,378.58,300,"3,341",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$833,068 ","$833,068 ","$5,500 ","$6,704 ","$143,793 ","$989,065 ","$48,318 ","$24,106 ",No,$18.91 ,$15.44 ,$14.00 ,$13.00 ,1.75,1.75,7.4,9.15
Pitkin County Library,ASPEN,PITKIN,"55,009","41,760","13,050",0,"167,414","123,680","2,002",No,No,No,No,38.5,"49,508",12,"$122,241 ","$347,575 ","$1,323,719 ","$4,032,702 ",$0 ,"$1,955,929 ",0,$165.40 ,$24.35 ,$92.72 ,$282.46 ,$325.11 ,59%,9%,"14,277",CO,"9,519","1,802","11,321",1.68,5.3,79%,3.85,8.66,Not Collected,Not Collected,8.66,355.4,516,"5,074",$0 ,$0 ,$0 ,"$100,000 ","$100,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,641,552 ",$0 ,"$4,641,552 ","$15,273 ","$5,235 ","$242,075 ","$4,904,135 ","$90,944 ","$63,179 ",Yes,$33.80 ,$25.03 ,$28.97 ,$21.46 ,7,10.5,13.5,24
Poudre River Public Library District,FORT COLLINS,LARIMER,"440,200","35,347","52,487",3,"2,984,269","2,353,711","9,068",No,No,No,No,58.1,"49,706",56,"$474,574 ","$1,326,487 ","$2,734,713 ","$9,791,971 ","$204,903 ","$4,409,634 ",0,$27.54 ,$6.37 ,$13.14 ,$47.05 ,$52.32 ,59%,14%,"208,111",LD,"139,225","2,413","141,638",0.45,1.29,68%,2.12,11.31,Not Collected,Not Collected,11.31,75.41,849,"15,694",$0 ,$0 ,$0 ,"($36,697)","($36,697)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,887,726 ","$10,887,726 ","$84,562 ",$0 ,"$1,055,607 ","$12,027,895 ","$76,107 ","$34,070 ",Yes,$27.63 ,$19.76 ,$15.66 ,$13.46 ,11.6,11.6,82,93.6
Pueblo City-County Library District,PUEBLO,PUEBLO,"491,472","2,582","1,106",1,"1,690,721","1,478,042","22,970",Yes,No,No,No,55.2,"5,084,640",507,"$313,895 ","$1,530,303 ","$4,471,568 ","$12,165,691 ","$3,019,614 ","$4,782,581 ",0,$36.36 ,$9.03 ,$26.38 ,$71.77 ,$71.78 ,51%,13%,"169,505",LD,"91,503","3,271","94,774",0.55,1.61,56%,2.9,8.72,Not Collected,Not Collected,8.72,157.71,"2,393","26,733",$0 ,$0 ,$0 ,"$961,844 ","$961,844 ",$0 ,"$1,091,590 ",$0 ,$0 ,$0 ,$0 ,"$11,075,793 ","$12,167,383 ","$37,970 ","$821,702 ","$168,773 ","$13,195,828 ","$56,789 ","$47,766 ",Yes,$20.80 ,$17.35 ,$18.13 ,$12.56 ,26,26,67,93
Rampart Regional Library District (Woodland Park),WOODLAND PARK,TELLER,"57,001","30,465","22,306",0,"128,909","128,181","3,431",Yes,Yes,Yes,Yes,33,"62,637",43,"$27,918 ","$39,018 ","$391,543 ","$1,142,858 ",$0 ,"$596,504 ",0,$36.05 ,$1.97 ,$19.82 ,$57.84 ,$69.46 ,62%,3%,"19,759",LD,"14,985","2,405","17,390",0.86,2.6,88%,2.88,6.49,Not Collected,Not Collected,6.49,203.6,571,"4,023",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$141,940 ",$0 ,$0 ,"$1,230,452 ","$1,372,392 ","$5,172 ","$15,635 ","$19,328 ","$1,412,527 ",No Data,No Data,Yes,$18.90 ,$15.00 ,$14.30 ,$13.55 ,3,3,14,17
Rangely Regional Library District,RANGELY,RIO BLANCO,"7,295",0,0,0,"12,208","12,208","1,600",No,Yes,Yes,Yes,30.8,0,9,"$12,533 ","$13,388 ","$56,798 ","$162,986 ","$10,387 ","$80,110 ",0,$34.52 ,$4.98 ,$21.13 ,$60.63 ,$44.40 ,57%,8%,"2,688",LD,"2,174",0,"2,174",0.76,7.83,81%,2.71,4.54,Not Collected,Not Collected,4.54,167.41,51,450,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$119,340 ","$119,340 ","$4,000 ",$0 ,"$38,751 ","$162,091 ",No Data,No Data,No,$15.00 ,$12.56 ,$12.56 ,$12.56 ,0,1.98,0.05,2.03
Rangeview Library District (Adams County),THORNTON,ADAMS,"463,597","13,213","13,482",0,"1,231,295","1,231,295","14,340",No,No,No,No,34.5,"622,839",346,"$1,190,614 ","$2,984,511 ","$5,668,763 ","$16,734,786 ","$578,474 ","$6,770,614 ",1,$20.03 ,$7.40 ,$14.05 ,$41.49 ,$56.09 ,48%,18%,"403,391",LD,"323,479",0,"323,479",0.27,0.69,80%,1.15,3.05,Not Collected,Not Collected,3.05,83.17,"1,457","33,549",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$22,626,320 ","$22,626,320 ","$86,428 ",$0 ,"$2,098,150 ","$24,810,898 ","$92,499 ","$47,486 ",No,$32.08 ,$17.00 ,$23.57 ,$12.85 ,19,35,74.75,109.75
Red Feather Mountain Library District,RED FEATHER LAKES,LARIMER,"13,754","1,531","1,145",0,"33,822","33,516","2,576",No,No,No,No,49.5,"5,404",21,"$33,596 ","$41,039 ","$173,866 ","$402,092 ","$28,788 ","$161,131 ",0,$106.60 ,$23.37 ,$99.01 ,$228.98 ,$197.16 ,47%,10%,"1,756",LD,725,523,"1,248",2.28,4.96,71%,7.83,19.09,Not Collected,Not Collected,19.09,563.78,86,990,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$346,215 ","$346,215 ","$13,665 ","$5,456 ","$20,319 ","$385,655 ","$28,454 ","$12,663 ",No,$17.00 ,$17.00 ,$17.00 ,$17.00 ,1,3.4,0.6,4
Ridgway Public Library District,RIDGWAY,OURAY,"22,354","2,410","2,514",0,"44,873","44,446","2,028",Yes,No,No,No,39,No Data,12,"$35,792 ","$46,593 ","$17,289 ","$279,337 ","$65,313 ","$179,543 ",0,$76.11 ,$16.46 ,$6.11 ,$98.67 ,$118.35 ,77%,17%,"2,831",LD,"3,446",565,"4,011",1.35,6.59,142%,7.9,15.7,Not Collected,Not Collected,15.7,695.87,159,"1,970",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$335,043 ","$335,043 ","$9,000 ",$0 ,"$11,875 ","$355,918 ","$29,110 ","$24,180 ",No,$16.00 ,$12.00 ,$16.00 ,$12.00 ,1,3.83,0,3.83
Rio Grande County Library District,MONTE VISTA,RIO GRANDE,"23,573",658,966,0,"24,784","24,784","4,766",Yes,No,No,No,30.6,"4,430",42,"$33,278 ","$39,679 ","$126,295 ","$321,718 ","$8,329 ","$144,399 ",0,$13.66 ,$3.48 ,$11.08 ,$28.22 ,$26.71 ,48%,12%,"11,400",LD,"12,310",655,"12,965",0.88,4.3,114%,2.07,2.17,Not Collected,Not Collected,2.17,0,0,0,$0 ,$0 ,$0 ,"$53,700 ","$53,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$304,473 ","$304,473 ","$5,810 ","$7,343 ","$1,642 ","$319,268 ",$0 ,$0 ,No,$15.00 ,$12.50 ,$0.00 ,$0.00 ,0,7,3,10
Rocky Ford Public Library,ROCKY FORD,OTERO,"60,258",0,0,0,"79,981","76,481","3,250",No,Yes,Yes,Yes,62.5,300,3,"$40,974 ","$42,674 ",$0 ,"$135,202 ","$50,000 ","$88,500 ",0,$23.88 ,$11.02 ,$0.00 ,$34.90 ,"$3,418.54 ",68%,32%,"3,874",CI,"4,332","1,184","5,516",0.77,0.93,142%,15.55,19.74,Not Collected,Not Collected,19.74,28.39,105,110,$0 ,$0 ,$0 ,$0 ,$0 ,"$140,402 ","$6,754,992 ","$1,154,190 ","$1,555,746 ","$272,326 ","$3,365,756 ",$0 ,"$13,243,412 ","$4,000 ",$0 ,$0 ,"$13,247,412 ",$12 ,$0 ,No,$12.00 ,$0.00 ,$0.00 ,$0.00 ,1,3,0,3
San Miguel Library District # 1/Telluride,TELLURIDE,SAN MIGUEL,"92,175","23,173","7,357",1,"223,541","176,528","3,024",Yes,No,No,No,58.2,"56,589",32,"$103,332 ","$279,594 ","$677,657 ","$2,561,178 ","$97,898 ","$1,214,564 ",0,$257.45 ,$44.88 ,$108.77 ,$411.10 ,$507.30 ,63%,11%,"6,230",LD,"8,913","3,568","12,481",3.43,7.22,200%,14.8,28.34,Not Collected,Not Collected,28.34,"2,040.93",655,"12,715",$625 ,$0 ,$0 ,$0 ,$625 ,$0 ,"$151,150 ",$0 ,$0 ,$0 ,$0 ,"$3,009,333 ","$3,160,483 ","$13,964 ",$0 ,"$35,310 ","$3,209,757 ","$64,438 ","$64,397 ",Yes,$26.63 ,$20.00 ,$23.79 ,$21.64 ,6,6,15.4,21.4
Silverton Public Library,SILVERTON,SAN JUAN,"2,000",319,349,0,"8,201","8,201",32,Yes,No,No,No,0.6,"1,000",15,"$6,600 ","$8,000 ",$25 ,"$101,726 ",$0 ,"$75,995 ",0,$150.16 ,$12.82 ,$0.04 ,$163.02 ,$185.90 ,92%,8%,624,CI,600,100,700,3.21,19.23,112%,3.21,13.14,Not Collected,Not Collected,13.14,"1,448.72",113,904,$0 ,$0 ,$0 ,$0 ,$0 ,"$116,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$116,000 ","$8,500 ","$22,217 ",$0 ,"$146,717 ",$0 ,$0 ,No,$15.00 ,$15.00 ,$15.00 ,$15.00 ,0,1,1,2
South Routt Library District,OAK CREEK,ROUTT,"7,674",0,6,0,"7,270","7,270","2,618",Yes,No,No,No,25.2,"2,807",5,"$13,005 ","$15,797 ","$81,428 ","$163,218 ","$207,830 ","$61,275 ",0,$19.69 ,$4.71 ,$24.30 ,$48.71 ,$31.98 ,40%,10%,"3,351",LD,"1,583",43,"1,626",0.6,3.79,49%,2.29,2.17,Not Collected,Not Collected,2.17,208.89,65,700,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,191 ",$0 ,$0 ,"$99,970 ","$107,161 ","$193,771 ",$0 ,"$47,031 ","$347,963 ",No Data,No Data,No,$12.90 ,$12.90 ,$12.36 ,$12.36 ,0,0.8,1.2,2
Southern Chaffee County Regional Lib Dist/Salida,SALIDA,CHAFFEE,"158,818","38,973","27,969",0,"181,052","170,575","3,250",No,Yes,Yes,Yes,62.5,"103,839",12,"$64,097 ","$175,205 ","$147,633 ","$819,376 ","$7,817 ","$429,386 ",0,$49.40 ,$17.43 ,$14.69 ,$81.51 ,$96.16 ,61%,21%,"10,052",LD,"9,820","1,861","11,681",1.69,5.75,116%,15.8,16.97,Not Collected,Not Collected,16.97,128.73,137,"1,294",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$966,638 ","$966,638 ","$8,593 ",$0 ,"$144,211 ","$1,119,442 ","$48,671 ","$34,320 ",No,$17.20 ,$14.25 ,$16.69 ,$13.50 ,1,16,1,17
Southern Teller County School/Public Library District,CRIPPLE CREEK,TELLER,"31,854",728,72,0,"35,987","35,727","1,832",Yes,No,No,No,17.6,"1,400",10,"$42,307 ","$54,597 ","$11,350 ","$160,314 ",$0 ,"$78,931 ",0,$18.65 ,$10.79 ,$2.24 ,$31.69 ,$30.60 ,59%,34%,"5,059",LD,"2,171",66,"2,237",0.55,4.87,44%,6.3,7.06,Not Collected,Not Collected,7.06,80.25,46,406,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$154,814 ","$154,814 ","$5,500 ",$0 ,$0 ,"$160,314 ",$0 ,$0 ,No,$18.00 ,$12.56 ,$0.00 ,$0.00 ,1,2.8,0,2.8
Spanish Peaks Library District,WALSENBURG,HUERFANO,"4,921","1,046","1,266",0,"6,602","6,602","1,152",Yes,Yes,Yes,Yes,22.2,"8,333",5,"$4,140 ","$10,572 ","$52,923 ","$180,973 ","$155,000 ","$94,810 ",0,$22.27 ,$2.00 ,$10.03 ,$34.31 ,$39.95 ,65%,6%,"5,275",LD,"7,909",146,"8,055",0.66,3.13,153%,0.93,1.25,Not Collected,Not Collected,1.25,436.4,223,"2,302","$160,000 ",$0 ,$0 ,$0 ,"$160,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$210,715 ","$210,715 ","$4,500 ",$0 ,$0 ,"$215,215 ","$35,620 ",$0 ,Yes,$13.25 ,$13.00 ,$0.00 ,$0.00 ,1,2,1.5,3.5
Sterling Public Library,STERLING,LOGAN,"39,252","3,377","1,266",0,"72,828","72,828","2,839",No,Yes,Yes,Yes,54.6,No Data,24,"$72,885 ","$116,495 ","$103,419 ","$617,182 ",$0 ,"$305,116 ",0,$29.17 ,$8.55 ,$7.59 ,$45.32 ,$43.85 ,64%,19%,"13,618",CI,"8,624","1,449","10,073",0.55,5.6,74%,2.88,5.35,Not Collected,Not Collected,5.35,199.88,150,"2,722",$0 ,$0 ,$0 ,$0 ,$0 ,"$597,141 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$597,141 ","$6,495 ","$7,219 ","$5,856 ","$616,711 ",No Data,No Data,No,$23.54 ,$17.66 ,$20.80 ,$15.60 ,1,5,2.5,7.5
Stratton Public Library,STRATTON,KIT CARSON,609,330,380,0,"4,735","4,735",565,Yes,No,No,No,10.9,0,7,"$4,515 ","$4,651 ","$2,350 ","$18,794 ",$0 ,"$9,954 ",0,$18.00 ,$7.10 ,$3.59 ,$28.69 ,$44.64 ,63%,25%,655,CI,784,20,804,0.76,7.23,123%,0.93,7.23,Not Collected,Not Collected,7.23,334.35,150,219,$0 ,$0 ,$0 ,$0 ,$0 ,"$29,237 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$29,237 ","$4,500 ",$0 ,$0 ,"$33,737 ",$0 ,$0 ,No,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0.5,0,0.5
Summit County Library,FRISCO,SUMMIT,"83,149","19,994","22,325",0,"191,836","176,494","25,888",No,No,No,No,166,"46,254",21,"$69,851 ","$146,958 ","$309,685 ","$1,524,830 ",$0 ,"$736,843 ",0,$34.52 ,$4.75 ,$10.01 ,$49.28 ,$46.83 ,70%,10%,"30,941",CO,"10,621","8,205","18,826",0.97,2.34,61%,2.69,5.7,Not Collected,Not Collected,5.7,213.83,410,"6,616",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,449,000 ",$0 ,"$1,449,000 ","$14,731 ",$0 ,"$61,738 ","$1,525,469 ","$58,219 ","$40,144 ",No,No Data,No Data,$15.30 ,$15.00 ,1,16,14,30
Trinidad Carnegie Public Library,TRINIDAD,LAS ANIMAS,"17,764","2,097","4,641",0,"48,113","47,209","2,274",No,No,No,No,43.7,No Data,2,"$15,505 ","$27,836 ","$1,925 ","$304,075 ",$0 ,"$219,431 ",0,$19.35 ,$1.96 ,$0.14 ,$21.45 ,$23.19 ,90%,9%,"14,176",CI,"5,359",265,"5,624",0.4,1.08,40%,1.25,3.33,Not Collected,Not Collected,3.33,91.92,59,"1,303",$0 ,$0 ,$0 ,$0 ,$0 ,"$328,807 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$328,807 ","$5,353 ",$0 ,"$14,640 ","$348,800 ","$37,190 ","$18,595 ",No,$17.68 ,No Data,$15.37 ,No Data,0,2.9,2.8,5.7
Upper San Juan Library District,PAGOSA SPRINGS,ARCHULETA,"51,423","2,542","9,414",0,"96,160","93,200","2,795",Yes,No,No,No,53.8,"30,622",14,"$24,615 ","$55,753 ","$123,278 ","$540,676 ","$2,496 ","$292,152 ",0,$28.68 ,$4.42 ,$9.78 ,$42.88 ,$46.22 ,67%,10%,"12,610",LD,"14,426",55,"14,481",0.28,1.62,115%,4.08,7.39,Not Collected,Not Collected,7.39,256.3,509,"3,232",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$582,773 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$582,773 ","$6,345 ",$0 ,"$36,928 ","$626,046 ","$48,410 ","$42,261 ",Yes,$20.34 ,$14.72 ,$0.00 ,$0.00 ,3,3.25,0.33,3.58
Vail Public Library,VAIL,EAGLE,"69,251","21,827","2,448",0,"75,113","68,296","2,667",No,No,No,Yes,51.3,"51,000",9,"$69,126 ","$125,393 ","$162,670 ","$989,612 ",$0 ,"$538,552 ",0,$146.06 ,$26.11 ,$33.87 ,$206.04 ,$198.32 ,71%,13%,"4,803",CI,"4,026","7,747","11,773",1.87,7.15,245%,14.42,14.22,Not Collected,Not Collected,14.22,"1,500.31",565,"7,206",$0 ,$0 ,$0 ,"$38,803 ","$38,803 ","$952,523 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$952,523 ","$7,500 ","$4,330 ","$46,645 ","$1,010,998 ",No Data,No Data,No,$24.48 ,$17.31 ,$19.04 ,$15.60 ,2,2,7,9
Wellington Public Library,WELLINGTON,LARIMER,"27,679","1,403","2,289",0,"22,170","22,170","1,560",No,Yes,Yes,Yes,30,"19,186",9,"$16,887 ","$24,889 ","$15,198 ","$274,368 ",$0 ,"$194,913 ",0,$21.04 ,$2.24 ,$1.36 ,$24.64 ,$24.64 ,85%,9%,"11,135",CI,"5,311","1,003","6,314",0.38,1.6,57%,2.49,1.99,Not Collected,Not Collected,1.99,176.56,53,"1,966",$0 ,$0 ,$0 ,$0 ,$0 ,"$274,368 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$274,368 ","$5,544 ",$0 ,"$3,641 ","$283,553 ","$46,405 ","$34,804 ",No,No Data,No Data,$17.32 ,$16.00 ,1,2.75,1.5,4.25
